ring_id,vertex_id,x,y
0,0,-1545465.024,-262614.7733
0,1,-1544081.029,-263290.9479
0,2,-1545705.557,-265823.1788
0,3,-1549351.569,-258952.9663
0,4,-1550051.592,-260946.5002
0,5,-1546609.804,-269301.2788
0,6,-1549257.959,-271190.6695
0,7,-1551795.205,-275402.5881
0,8,-1555609.665,-278228.7053
0,9,-1554769.426,-285988.5317
0,10,-1556281.833,-290515.6714
0,11,-1559799.859,-295243.3691
0,12,-1560261.342,-299301.3869
0,13,-1566410.621,-297956.2414
0,14,-1572811.668,-298194.9587
0,15,-1574843.04,-299508.3897
0,16,-1576942.042,-297337.9158
0,17,-1580364.257,-298649.7563
0,18,-1584379.053,-295864.9748
0,19,-1583581.093,-298298.0631
0,20,-1585531.312,-298896.3635
0,21,-1585893.122,-296862.6473
0,22,-1588418.065,-299600.5401
0,23,-1593411.848,-296511.4199
0,24,-1596997.961,-297391.2061
0,25,-1594039.669,-298625.3309
0,26,-1592092.039,-303720.1378
0,27,-1593371.739,-306140.9646
0,28,-1590467.692,-310338.2732
0,29,-1586917.425,-308955.4756
0,30,-1588262.258,-311486.3094
0,31,-1586131.727,-309669.9048
0,32,-1585836.774,-305120.0101
0,33,-1576501.467,-299211.3093
0,34,-1575260.147,-300860.7881
0,35,-1571552.373,-298503.5419
0,36,-1568412.894,-299672.4595
0,37,-1567982.053,-304776.3946
0,38,-1563703.036,-308698.6807
0,39,-1566250.009,-313627.9594
0,40,-1560698.762,-308480.4346
0,41,-1560973.45,-305495.943
0,42,-1559137.134,-308292.0163
0,43,-1557863.606,-304583.5346
0,44,-1555426.19,-304499.084
0,45,-1552495.328,-309300.0401
0,46,-1554015.721,-310552.7214
0,47,-1554237.111,-314792.4611
0,48,-1548521.646,-318315.3958
0,49,-1547717.578,-320767.6767
0,50,-1540606.186,-319423.0511
0,51,-1537874.979,-320622.6083
0,52,-1533249.635,-313497.1484
0,53,-1533372.511,-310897.4427
0,54,-1527733.16,-302589.3181
0,55,-1524286.444,-303419.4964
0,56,-1522459.068,-305811.9909
0,57,-1523694.532,-311019.9853
0,58,-1522204.745,-312344.3723
0,59,-1520911.152,-310577.3333
0,60,-1518213.146,-311184.1013
0,61,-1518498.049,-315476.3639
0,62,-1516212.355,-316260.0316
0,63,-1516661.107,-318577.5954
0,64,-1515516.411,-320848.5159
0,65,-1509956.863,-322835.5358
0,66,-1508383.63,-327182.0846
0,67,-1509349.263,-322794.6865
0,68,-1514918.515,-321020.0604
0,69,-1516482.918,-318751.0698
0,70,-1515987.944,-316170.0044
0,71,-1518418.666,-315371.0989
0,72,-1517921.848,-311217.8027
0,73,-1520333.194,-310399.8261
0,74,-1522872.976,-310947.9149
0,75,-1521343.169,-306745.6583
0,76,-1522869.928,-302200.9701
0,77,-1521809.603,-300812.5708
0,78,-1522127.394,-296480.0985
0,79,-1524448.772,-301821.3979
0,80,-1527389.604,-301427.5495
0,81,-1530779.92,-305749.1455
0,82,-1532141.076,-305821.3885
0,83,-1537507.671,-312841.0576
0,84,-1538564.457,-318606.4856
0,85,-1545682.545,-319924.985
0,86,-1545921.837,-317688.1617
0,87,-1548334.675,-318031.0913
0,88,-1547286.419,-314376.2079
0,89,-1549878.614,-312629.53
0,90,-1549371.964,-309481.0992
0,91,-1554525.115,-300154.9504
0,92,-1554905.281,-295355.3347
0,93,-1552849.084,-290271.7529
0,94,-1550309.73,-279567.2354
0,95,-1543985.296,-272102.9096
0,96,-1545208.311,-266401.3555
0,97,-1543110.902,-263576.5299
0,98,-1543234.63,-258005.4289
Total signed area in input: 5.540650e+08
Total signed area in output: 5.540649e+08
Total areal displacement: 1.673461e+08
