ring_id,vertex_id,x,y
0,0,228050.4356,-250750.3009
0,1,227070.8411,-250806.7331
0,2,226890.9958,-251902.9177
0,3,226123.8494,-251841.6536
0,4,226516.042,-250241.4295
0,5,228715.5944,-249201.21
0,6,227725.5979,-249375.7409
0,7,227429.1159,-248681.2665
0,8,226237.9543,-248991.9893
0,9,225865.9541,-247172.9823
0,10,226021.4561,-246374.4992
0,11,224079.8178,-246080.5975
0,12,223462.0544,-247689.2623
0,13,223238.8276,-247765.0893
0,14,223706.0813,-246557.8398
0,15,223385.1183,-245385.6176
0,16,224063.4399,-245923.874
0,17,224078.8448,-244330.6529
0,18,222617.0556,-243863.568
0,19,222112.0631,-244586.739
0,20,222175.6744,-245575.1133
0,21,220956.839,-244759.4201
0,22,220853.3573,-246605.6724
0,23,221415.1365,-246823.3042
0,24,220602.2679,-247427.4309
0,25,220210.3675,-246801.9794
0,26,218920.8925,-246214.1536
0,27,217691.0912,-247445.6326
0,28,217942.683,-248251.1625
0,29,216789.2723,-248591.8978
0,30,219145.3691,-248618.937
0,31,218522.0876,-249216.9005
0,32,219207.3598,-250735.0778
0,33,218112.6671,-250894.638
0,34,217985.6322,-251341.902
0,35,218501.2647,-251150.4271
0,36,219674.8859,-253843.395
0,37,218892.4163,-253325.5477
0,38,218167.3858,-253642.952
0,39,217649.6125,-255545.0102
0,40,218074.7225,-255859.5052
0,41,216699.018,-256928.8317
0,42,216429.8523,-257707.7048
0,43,217625.9311,-257808.9048
0,44,218293.8435,-259340.3758
0,45,216023.1181,-259343.793
0,46,218404.1699,-259667.8871
0,47,218129.9994,-257934.6555
0,48,216841.7056,-257458.0995
0,49,216684.3574,-257161.6322
0,50,218079.692,-256242.2201
0,51,218835.8775,-257825.3953
0,52,219643.6215,-258315.3536
0,53,218589.769,-256740.6625
0,54,219408.4914,-255819.2306
0,55,219727.1482,-257013.5856
0,56,219911.0728,-256689.9098
0,57,219634.3808,-255704.966
0,58,218389.3091,-255832.1657
0,59,218324.6549,-253917.84
0,60,219482.3045,-254123.4895
0,61,218931.4511,-254583.8703
0,62,219980.6067,-254243.8944
0,63,220286.0134,-253627.9494
0,64,219380.5903,-251501.0227
0,65,220134.2358,-251678.6477
0,66,219789.0658,-249966.7476
0,67,219123.0829,-249532.4823
0,68,219525.4219,-248342.5934
0,69,219175.2249,-247469.8256
0,70,220321.6328,-248285.8074
0,71,221500.0433,-248064.7625
0,72,221926.8206,-248847.087
0,73,223063.2363,-249748.5089
0,74,223232.9586,-249574.4523
0,75,222012.1347,-248342.554
0,76,221924.9502,-246436.787
0,77,223026.0825,-245688.6214
0,78,222803.0332,-247922.0345
0,79,223728.4026,-248364.2929
0,80,224419.0993,-246745.7088
0,81,225510.4246,-246908.8097
0,82,224620.8332,-247882.7581
0,83,225565.0541,-247911.2384
0,84,225721.2741,-248775.6657
0,85,226454.5279,-249730.6943
0,86,227213.1422,-249138.9946
0,87,227476.9451,-249312.1777
0,88,226007.1695,-250073.353
0,89,225698.7995,-251330.4726
0,90,226089.5082,-252462.3099
0,91,227131.7618,-252026.6878
0,92,227495.9568,-250977.2131
0,93,227574.7074,-252201.7451
0,94,226789.9367,-252877.3534
0,95,226229.8108,-253934.3875
0,96,226846.0152,-254179.066
0,97,226447.7108,-253552.8872
0,98,227711.835,-252457.0342
Total signed area in input: 3.115586e+07
Total signed area in output: 3.115586e+07
Total areal displacement: 9.838778e+06
