ring_id,vertex_id,x,y
0,0,1455034.605,-1372344.493
0,1,1451585.429,-1374217.729
0,2,1449645.223,-1378236.733
0,3,1449263.657,-1379577.823
0,4,1450280.817,-1381318.158
0,5,1453788.518,-1382872.241
0,6,1454404.912,-1384145.186
0,7,1454115.241,-1386509.313
0,8,1453244.505,-1386931.931
0,9,1451158.56,-1385671.817
0,10,1451317.763,-1384243.596
0,11,1450407.71,-1382700.65
0,12,1451300.783,-1386384.619
0,13,1449468.248,-1390176.104
0,14,1448394.268,-1390048.2
0,15,1446364.712,-1391639.058
0,16,1446088.519,-1393411.405
0,17,1445507.475,-1394071.088
0,18,1444343.052,-1394142.134
0,19,1443918.89,-1395727.917
0,20,1442371.032,-1398615.208
0,21,1442092.815,-1399508.679
0,22,1440817.711,-1399936.016
0,23,1439135.743,-1399814.52
0,24,1438761.395,-1400881.402
0,25,1437860.76,-1401244.492
0,26,1436109.23,-1400951.291
0,27,1435135.01,-1401771.692
0,28,1433481.028,-1402112.889
0,29,1433791.158,-1402672.963
0,30,1435463.336,-1402655.178
0,31,1433559.142,-1403513.368
0,32,1432934.159,-1401967.533
0,33,1431618.459,-1403168.8
0,34,1431746.314,-1403870.818
0,35,1432868.336,-1404653.569
0,36,1432702.969,-1405157.064
0,37,1430149.42,-1406845.965
0,38,1432809.808,-1405557.608
0,39,1435572.105,-1402776.155
0,40,1437091.192,-1402580.641
0,41,1438304.172,-1403336.181
0,42,1436965.265,-1404441.938
0,43,1436614.678,-1405667.114
0,44,1437393.183,-1405853.473
0,45,1438336.717,-1404930.827
0,46,1438831.788,-1402741.725
0,47,1439603.859,-1403015.956
0,48,1443577.138,-1408918.731
0,49,1444462.115,-1410497.599
0,50,1445988.287,-1412284.948
0,51,1446916.307,-1415949.172
0,52,1447834.152,-1417701.129
0,53,1447891.307,-1419587.367
0,54,1449145.867,-1419595.477
0,55,1448547.944,-1420324.517
0,56,1450137.829,-1421416.528
0,57,1451784.534,-1423118.133
0,58,1451245.611,-1423482.823
0,59,1451290.114,-1424627.02
0,60,1452046.82,-1423112.213
0,61,1455690.854,-1423721.183
0,62,1457259.299,-1426209.747
0,63,1458159.403,-1427134.318
0,64,1459532.908,-1427652.071
0,65,1460269.326,-1428385.544
0,66,1461143.849,-1427728.864
0,67,1461704.758,-1425450.749
0,68,1463082.475,-1425509.307
0,69,1464096.251,-1427340.081
0,70,1465200.176,-1426499.52
0,71,1465392.288,-1424738.669
0,72,1467332.747,-1423974.507
0,73,1467806.175,-1422620.573
0,74,1467623.214,-1421389.39
0,75,1468687.82,-1419783.236
0,76,1469458.31,-1419854.021
0,77,1470343.611,-1421002.879
0,78,1471180.362,-1420896.722
0,79,1472162.335,-1419429.248
0,80,1471471.859,-1416520.074
0,81,1472212.664,-1415106.699
0,82,1474610.616,-1412923.427
0,83,1475544.277,-1411605.004
0,84,1475691.617,-1410548.214
0,85,1477842.724,-1405077.268
0,86,1477209.562,-1401974.102
0,87,1477014.463,-1398869.563
0,88,1476620.041,-1396889.473
0,89,1471925.131,-1387961.693
0,90,1470106.023,-1385016.015
0,91,1468119.201,-1383218.55
0,92,1465967.253,-1379817.679
0,93,1464392.042,-1379114.59
0,94,1463411.147,-1377053.131
0,95,1460227.85,-1374344.372
0,96,1458425.199,-1373930.814
Total signed area in input: 1.305116e+09
Total signed area in output: 1.305116e+09
Total areal displacement: 1.811002e+07
