ring_id,vertex_id,x,y
0,0,-1760938.203,-584937.3707
0,1,-1760581.174,-587536.7859
0,2,-1760949.405,-587407.5898
0,3,-1760839.3,-588507.7611
0,4,-1759117.298,-590595.7651
0,5,-1758626.492,-592415.7411
0,6,-1757643.238,-592696.5984
0,7,-1757627.778,-593247.6633
0,8,-1756410.267,-594155.2804
0,9,-1755738.233,-595952.0289
0,10,-1755334.559,-596202.7736
0,11,-1754320.865,-598655.8315
0,12,-1754592.981,-599255.0235
0,13,-1753744.965,-600045.6758
0,14,-1753151.862,-601900.7326
0,15,-1752440.949,-601909.2445
0,16,-1751080.469,-603609.8426
0,17,-1750353.532,-605156.8563
0,18,-1751443.848,-606757.7369
0,19,-1750229.79,-607568.2211
0,20,-1749625.529,-608892.6146
0,21,-1749163.491,-612502.0169
0,22,-1748470.307,-614655.5899
0,23,-1749071.211,-617233.6132
0,24,-1747695.978,-617522.5344
0,25,-1746642.834,-619612.4979
0,26,-1746718.978,-620337.1156
0,27,-1745841.776,-621113.3202
0,28,-1745790.472,-623185.9623
0,29,-1744516.191,-623506.3717
0,30,-1744757.982,-625527.1717
0,31,-1743084.109,-627364.8138
0,32,-1741407.325,-627481.2799
0,33,-1740307.698,-629097.5645
0,34,-1738486.397,-628655.7475
0,35,-1737599.001,-627059.6925
0,36,-1738293.039,-626505.6299
0,37,-1737918.166,-624522.2982
0,38,-1737375.824,-625044.3504
0,39,-1737744.058,-625629.2914
0,40,-1737412.935,-627723.8707
0,41,-1736827.485,-626302.7084
0,42,-1735622.21,-625963.7662
0,43,-1735224.257,-624091.9661
0,44,-1734535.952,-624234.2362
0,45,-1733406.098,-623025.5293
0,46,-1733161.137,-621865.0087
0,47,-1732297.095,-622026.9531
0,48,-1732270.761,-620193.4513
0,49,-1731711.946,-621194.829
0,50,-1730599.667,-620654.9479
0,51,-1730417.968,-619902.3209
0,52,-1728153.411,-620326.8219
0,53,-1727810.829,-618657.3764
0,54,-1729267.074,-618646.7721
0,55,-1729311.868,-618082.2102
0,56,-1727961.606,-618610.1817
0,57,-1729138.228,-617521.1869
0,58,-1728784.421,-616263.1773
0,59,-1728830.406,-617800.3396
0,60,-1727645.832,-618614.6275
0,61,-1727207.948,-617910.7215
0,62,-1726760.007,-618348.775
0,63,-1726570.18,-617161.6633
0,64,-1726179.103,-617263.8088
0,65,-1725720.867,-615963.6971
0,66,-1725789.353,-614497.6575
0,67,-1726770.063,-616915.2439
0,68,-1726937.299,-616403.7132
0,69,-1726270.628,-614343.0348
0,70,-1726252.982,-610369.19
0,71,-1726855.73,-606945.3214
0,72,-1727782.823,-604194.4625
0,73,-1729205.014,-601625.9845
0,74,-1730480.908,-601394.6033
0,75,-1731593.261,-599507.406
0,76,-1733979.709,-598588.9718
0,77,-1735158.299,-598820.5016
0,78,-1735520.576,-599388.7618
0,79,-1738349.128,-597485.1226
0,80,-1740873.513,-593749.0918
0,81,-1743000.018,-589045.6227
0,82,-1743434.631,-586130.9761
0,83,-1746026.763,-582580.3759
0,84,-1748480.968,-577322.4711
0,85,-1749493.038,-576614.0028
0,86,-1749587.623,-575778.3718
0,87,-1750445.422,-575260.3422
0,88,-1754497.636,-574298.4465
0,89,-1756144.096,-574483.8518
0,90,-1758860.438,-573102.3633
0,91,-1759704.005,-573872.4874
0,92,-1759884.309,-575611.9281
0,93,-1761718.418,-575005.8254
0,94,-1762680.463,-576506.3867
0,95,-1762801.963,-578732.5211
0,96,-1760575.377,-580946.0434
0,97,-1760760.854,-582659.9118
0,98,-1760470.001,-583661.7445
Total signed area in input: 9.432032e+08
Total signed area in output: 9.432032e+08
Total areal displacement: 1.060103e+07
