ring_id,vertex_id,x,y
0,0,1902608.917,712323.0482
0,1,1902016.594,713857.9504
0,2,1901794.885,713632.8198
0,3,1901085.387,715070.8235
0,4,1901465.726,715062.7008
0,5,1901670.353,716416.6245
0,6,1901286.341,716365.9852
0,7,1901402.254,717728.2319
0,8,1901098.147,717972.6169
0,9,1901467.125,718336.1381
0,10,1900634.606,718708.9575
0,11,1899678.651,718620.0686
0,12,1899774.574,718997.4097
0,13,1899039.838,719223.1154
0,14,1898758.704,720596.4704
0,15,1898648.374,720176.2187
0,16,1898946.247,718664.3432
0,17,1898407.546,718912.2583
0,18,1897981.501,717732.3707
0,19,1897517.428,718007.556
0,20,1896792.332,717859.8226
0,21,1896966.69,718595.1781
0,22,1896169.643,718162.957
0,23,1896354.681,717738.6761
0,24,1895477.748,717941.0971
0,25,1894704.35,717840.4944
0,26,1894781.417,718258.4632
0,27,1893674.396,718584.6597
0,28,1892400.8,720502.0402
0,29,1891849.185,721789.6814
0,30,1891945.84,720579.6914
0,31,1894432.153,717280.1228
0,32,1894361.252,715908.706
0,33,1893436.033,714163.424
0,34,1893589.737,713332.4452
0,35,1894080.046,713372.2217
0,36,1893682.861,712360.9729
0,37,1895153.468,709314.7992
0,38,1897736.791,708186.0817
0,39,1897935.492,708340.2868
0,40,1898879.139,707913.3442
0,41,1899234.462,708104.3314
0,42,1899685.211,707881.3582
0,43,1900601.081,708362.8955
0,44,1900922.633,707755.8828
0,45,1901237.455,707704.9052
0,46,1901732.28,707010.2236
0,47,1902274.49,707168.7143
0,48,1901849.417,706582.5171
0,49,1902474.465,706029.9781
0,50,1902180.619,705455.4371
0,51,1903132.667,704573.5749
0,52,1903971.399,704979.3882
0,53,1904593.639,704053.0315
0,54,1904106.598,704089.7727
0,55,1903269.297,703330.6411
0,56,1902414.359,703637.3599
0,57,1903346.347,702764.7459
0,58,1903984.257,703699.4575
0,59,1904642.223,702311.7294
0,60,1905235.578,702100.2065
0,61,1905820.788,702379.3678
0,62,1905758.114,702724.0879
0,63,1906327.902,703511.8221
0,64,1906293.169,704102.8797
0,65,1906002.007,704035.2609
0,66,1905776.936,706289.7409
0,67,1906067.332,706698.9012
0,68,1906235.513,707626.384
0,69,1905577.694,710261.3411
0,70,1905833.065,711558.6366
0,71,1905756.575,712476.2822
0,72,1906431.043,712280.2325
0,73,1906773.757,712656.9886
0,74,1906935.086,712542.099
0,75,1906652.343,711888.8722
0,76,1907075.084,711740.6134
0,77,1907939.894,710507.3639
0,78,1907908.16,711854.8259
0,79,1907377.194,712602.7178
0,80,1906802.042,712790.0737
0,81,1906153.264,713851.0881
0,82,1905838.097,715893.2069
0,83,1904671.438,716491.9992
0,84,1905286.706,717718.7883
0,85,1904383.616,718866.4804
0,86,1903695.621,717457.3268
0,87,1903292.023,717793.1919
0,88,1902917.508,716895.2036
0,89,1902745.766,717501.7204
0,90,1902132.825,717855.2762
0,91,1902800.069,717126.8948
0,92,1902634.791,716376.824
0,93,1902760.536,714258.2324
0,94,1903617.36,712961.2534
0,95,1903662.498,713732.7905
0,96,1904252.49,713035.767
0,97,1904099.429,712214.6987
0,98,1904618.768,711553.2945
Total signed area in input: 1.277306e+08
Total signed area in output: 1.277306e+08
Total areal displacement: 6.236555e+06
